id,alt,utmx_norm, utmy_norm, longx_norm, longy_norm
0,205.36,158.53417993948096,17.99147108249599,0.002234049818319761,0.00017923729750179973
1,205.371,159.36637993948534,17.437071082473267,0.002245889818318858,0.00017434729750220868
2,205.3856,160.19817993947072,16.881871082470752,0.0022577198183206804,0.00016944729750179022
3,205.3789,161.0293799394858,16.325971082493197,0.00226954981831895,0.00016453729750054435
4,205.3691,161.8605799395009,15.769971082510892,0.002281369818319945,0.0001596272974992985
5,205.3507,162.69177993945777,15.21397108247038,0.0022931998183182145,0.00015471729750515806
6,205.3915,163.52297993947286,14.657971082488075,0.0023050198183192094,0.0001498072975039122
7,205.3549,164.35417993948795,14.10197108250577,0.0023168498183210318,0.00014489729750266633
8,205.4,165.18537993950304,13.546071082470007,0.002328669818318474,0.00013998729750142047
9,205.3943,166.0136799394968,12.985871082462836,0.0023404598183205394,0.00013503729750397042
10,205.414,166.84157993947156,12.424871082475875,0.0023522398183182247,0.00013007729749858754
11,205.4162,167.66937993949978,11.863871082488913,0.0023640098183186353,0.0001251272975011375
12,205.4031,168.4971799394698,11.302871082501952,0.0023757898183198733,0.00012016729750286004
13,205.4042,169.324979939498,10.74187108251499,0.0023875698183175587,0.00011521729749830456
14,205.4234,170.15287993947277,10.18097108247457,0.0023993498183187967,0.00011025729750002711
15,205.425,170.980679939501,9.61997108248761,0.0024111298183200347,0.00010530729750257706
16,205.4231,171.808479939471,9.058971082500648,0.0024228998183204453,0.0001003472975042996
17,205.4344,172.63087993947556,8.490071082487702,0.0024346098183194442,9.532729750105773e-05
18,205.42,173.44877993949922,7.914771082461812,0.0024462498183197567,9.023729749912945e-05
19,205.4407,174.26677993946942,7.3394710824941285,0.0024578898183200693,8.515729750513401e-05
20,205.4376,175.08467993949307,6.764171082468238,0.0024695298183203818,8.006729750320574e-05
21,205.4486,175.90267993946327,6.188871082500555,0.0024811698183206943,7.497729750127746e-05
22,205.4485,176.72057993948692,5.613571082474664,0.002492809818321007,6.989729750017659e-05
23,205.4557,177.53847993945237,5.038271082506981,0.0025044498183177666,6.480729749824832e-05
24,205.45,178.35647993948078,4.46297108248109,0.002516089818318079,5.9727297504252874e-05
25,205.454,179.17437993950443,3.887671082513407,0.0025277298183183916,5.46372975023246e-05
26,205.4639,179.99237993947463,3.312371082487516,0.0025393798183195315,4.955729750122373e-05
27,205.4768,180.8102799394983,2.7370710824616253,0.002551019818319844,4.4467297499295455e-05
28,205.4749,181.62827993946848,2.1617710824939422,0.0025626598183201565,3.9387297498194584e-05
29,205.4781,182.44617993949214,1.5864710824680515,0.002574299818320469,3.429729750337174e-05
30,205.4796,183.2640799394576,1.0111710825003684,0.0025859398183207816,2.9217297502270867e-05
31,205.4846,184.082079939486,0.4358710824744776,0.002597579818321094,2.4127297500342593e-05
32,205.4935,184.89997993945144,-0.13942891749320552,0.002609219818317854,1.9047297499241722e-05
33,205.4987,185.71797993947985,-0.7147289175190963,0.0026208598183181664,1.3957297504418875e-05
34,205.504,186.5358799395035,-1.2900289174867794,0.0026325098183193063,8.877297503318005e-06
35,205.5075,187.35377993946895,-1.8653289175126702,0.002644149818319619,3.7872975013897303e-06
36,205.4954,188.17177993949736,-2.440628917538561,0.0026557898183199313,-1.2927024997111403e-06
37,205.5192,188.9896799394628,-3.015928917506244,0.002667429818320244,-6.3827025016394145e-06
38,205.5091,189.8076799394912,-3.591228917532135,0.0026790698183205564,-1.1462702495634858e-05
39,205.5152,190.62557993945666,-4.166528917499818,0.002690709818320869,-1.6552702497563132e-05
40,205.5127,191.44357993948506,-4.741828917525709,0.0027023498183176287,-2.1632702498664003e-05
41,205.5228,192.2614799394505,-5.317128917493392,0.002713989818317941,-2.6722702500592277e-05
42,205.51,193.07937993947417,-5.8924289175192825,0.0027256298183182537,-3.180270250169315e-05
43,205.5103,193.8986799395061,-6.465828917513136,0.002737289818320221,-3.687270249486119e-05
44,205.5143,194.7241799394833,-7.030228917486966,0.002749039818318977,-4.186270249562085e-05
45,205.53,195.54967993946047,-7.594728917523753,0.002760779818320458,-4.684270249555311e-05
46,205.53,196.37507993949112,-8.159128917497583,0.0027725298183192137,-5.183270249631278e-05
47,205.5092,197.2005799394683,-8.72362891753437,0.0027842798183179696,-5.682270249707244e-05
48,205.5365,198.0260799395037,-9.2880289175082,0.0027960198183194507,-6.18027024970047e-05
49,205.5369,198.85147993947612,-9.85252891748678,0.0028077698183182065,-6.679270249776437e-05
50,205.5417,199.6769799394533,-10.416928917518817,0.0028195098183196876,-7.178270249852403e-05
51,205.5388,200.5024799394887,-10.981428917497396,0.0028312598183184434,-7.676270249845629e-05
52,205.5344,201.32787993946113,-11.545828917529434,0.0028429998183199245,-8.175270249921596e-05
53,205.5683,202.15337993949652,-12.110328917508014,0.0028547498183186804,-8.674270249997562e-05
54,205.55,202.9788799394737,-12.674728917540051,0.0028664898183201615,-9.172270249990788e-05
55,205.5533,203.80427993950434,-13.23922891751863,0.0028782398183189173,-9.671270250066755e-05
56,205.6192,204.62977993948152,-13.80362891749246,0.0028899798183203984,-0.00010170270250142721
57,205.5558,205.4552799394587,-14.368128917529248,0.0029017298183191542,-0.00010669270249508145
58,205.559,206.28067993948935,-14.932528917503078,0.0029134698183206353,-0.00011167270249501371
59,205.5589,207.10617993946653,-15.497028917539865,0.002925219818319391,-0.00011666270249577337
60,205.57,207.93167993950192,-16.061428917513695,0.002936969818318147,-0.00012165270249653304
61,205.5658,208.75707993947435,-16.625928917492274,0.002948709818319628,-0.0001266327024964653
