alt,utmx,utmy,longx,longy
205.596,436007.4961200605,296144.9984289175,18.09686663018168,50.5288505157025
205.61,436009.9721200605,296143.3050289175,18.09690165018168,50.5288355657025
205.592,436011.94412006054,296141.7545289175,18.09692953018168,50.5288218777025
205.619,436014.1731200605,296139.7782289175,18.09696105018168,50.5288044297025
205.631,436016.42112006055,296137.7868289175,18.09699284018168,50.528786848702495
205.654,436018.6261200605,296135.8112289175,18.09702400018168,50.5287694077025
205.633,436020.82912006055,296133.80572891753,18.097055160181682,50.5287517017025
205.679,436022.98812006053,296131.8078289175,18.097085690181682,50.5287340637025
205.657,436025.1691200605,296129.7520289175,18.097116520181682,50.528715914702495
205.699,436027.3061200605,296127.7185289175,18.09714674018168,50.5286979617025
205.72,436029.4031200605,296125.6608289175,18.09717639018168,50.5286797957025
205.717,436031.4511200605,296123.5773289175,18.09720535018168,50.5286614007025
205.719,436033.4531200605,296121.45772891754,18.097233650181682,50.5286426877025
205.746,436035.40112006053,296119.3026289175,18.09726120018168,50.5286236617025
205.764,436037.23112006055,296117.1388289175,18.09728708018168,50.5286045587025
205.776,436038.9691200605,296114.9046289175,18.09731165018168,50.5285848347025
205.786,436040.5541200605,296112.6347289175,18.09733406018168,50.5285647947025
205.808,436042.0061200605,296110.2731289175,18.09735459018168,50.5285439447025
205.792,436043.3441200605,296107.8181289175,18.097373500181682,50.5285222717025
205.809,436044.5281200605,296105.3365289175,18.097390250181682,50.528500362702495
205.839,436045.56412006053,296102.7463289175,18.09740491018168,50.5284774957025
205.847,436046.4531200605,296100.14032891754,18.097417470181682,50.5284544877025
205.854,436047.1841200605,296097.4801289175,18.09742780018168,50.5284310037025
205.871,436047.7141200605,296094.8304289175,18.097435290181682,50.5284076097025
205.917,436048.0811200605,296092.0982289175,18.09744050018168,50.528383488702495
205.95,436048.25912006054,296089.3894289175,18.09744300018168,50.528359573702495
205.988,436048.2551200605,296086.6583289175,18.09744295018168,50.5283354627025
206.016,436048.0591200605,296083.9427289175,18.09744017018168,50.5283114887025
206.03,436047.68212006055,296081.2159289175,18.09743485018168,50.5282874157025
206.067,436047.1381200605,296078.5751289175,18.09742715018168,50.5282641007025
206.081,436046.3851200605,296075.96632891754,18.09741650018168,50.528241069702496
206.11,436045.4581200605,296073.4248289175,18.09740340018168,50.5282186317025
206.159,436044.3391200605,296070.9475289175,18.09738759018168,50.528196759702496
206.152,436043.0621200605,296068.5785289175,18.09736952018168,50.5281758437025
206.183,436041.6031200605,296066.3115289175,18.09734889018168,50.528155830702495
206.22,436040.0211200605,296064.2655289175,18.09732652018168,50.528137765702496
206.238,436038.2561200605,296062.4315289175,18.09730157018168,50.528121580702496
206.286,436036.34112006053,296060.89152891753,18.097274490181682,50.5281079807025
206.28,436034.2221200605,296059.5945289175,18.09724453018168,50.5280965277025
206.318,436032.0321200605,296058.6535289175,18.097213560181682,50.5280882227025
206.32,436029.73212006054,296058.0645289175,18.09718104018168,50.528083022702496
206.385,436027.29212006053,296057.8085289175,18.09714655018168,50.5280807627025
206.425,436024.7791200605,296057.8855289175,18.09711101018168,50.5280814427025
206.396,436022.3151200605,296058.2495289175,18.09707617018168,50.528084652702496
206.392,436019.8641200605,296058.9375289175,18.09704151018168,50.528090732702495
206.289,435962.5551200605,296075.5689289175,18.09623120018168,50.5282375617025
206.289,435962.5551200605,296075.5689289175,18.09623120018168,50.5282375617025
206.264,435959.7601200605,296076.4514289175,18.09619168018168,50.528245351702495
206.268,435956.95512006053,296077.2783289175,18.09615201018168,50.5282526527025
206.247,435954.1161200605,296078.0703289175,18.09611188018168,50.5282596447025
206.247,435951.2741200605,296078.8136289175,18.09607169018168,50.5282662057025
206.239,435948.40612006054,296079.5320289175,18.096031130181682,50.528272548702496
206.234,435945.53712006053,296080.2074289175,18.09599056018168,50.528278511702496
206.225,435942.6531200605,296080.8541289175,18.09594979018168,50.528284220702496
206.22,435939.7681200605,296081.46142891754,18.09590899018168,50.5282895827025
206.226,435936.86312006053,296082.0396289175,18.095867920181682,50.5282946877025
206.219,435933.97012006055,296082.5744289175,18.09582702018168,50.5282994087025
206.222,435931.07912006055,296083.0737289175,18.09578614018168,50.5283038167025
206.196,435928.15512006055,296083.5315289175,18.09574479018168,50.5283078587025
206.213,435925.24312006054,296083.9554289175,18.09570362018168,50.5283116007025
205.992,435812.6203200605,296099.2817289175,18.09411118718168,50.528446907702495
205.992,435812.6203200605,296099.2817289175,18.09411118718168,50.528446907702495
205.988,435809.8292200605,296099.71262891754,18.09407172318168,50.5284507127025
205.98,435807.1118200605,296100.28112891753,18.09403329918168,50.5284557317025
205.921,435804.4707200605,296101.0036289175,18.09399595518168,50.528462109702495
205.93,435801.9118200605,296101.8936289175,18.09395977418168,50.528469966702495
205.948,435799.4488200605,296102.9615289175,18.09392494818168,50.5284793947025
205.91,435797.18082006054,296104.20642891753,18.09389288018168,50.5284903857025
205.749,435765.9645200605,296120.16972891754,18.093451496181682,50.5286313177025
205.749,435765.9645200605,296120.16972891754,18.093451496181682,50.5286313177025
205.75,435763.4448200605,296121.2755289175,18.09341587018168,50.528641079702496
205.75,435760.8416200605,296122.2459289175,18.09337906118168,50.5286496467025
205.745,435758.12442006054,296123.11462891754,18.09334064118168,50.528657315702496
205.723,435755.4127200605,296123.86572891753,18.09330229918168,50.5286639477025
205.727,435752.60102006054,296124.52382891753,18.09326254218168,50.5286697567025
205.733,435749.82512006053,296125.0800289175,18.09322329418168,50.5286746667025
205.7,435746.9923200605,296125.5347289175,18.09318323818168,50.5286786817025
