utm_x,utm_y
-123.537,117.992
-121.682,115.634
-119.84,113.266
-117.994,110.902
-116.158,108.528
-114.329,106.151
-112.497,103.775
-110.69,101.38
-108.894,98.9776
-107.108,96.5673
-105.318,94.1594
-103.54,91.7429
-101.762,89.3268
-99.9783,86.9147
-98.2001,84.4984
-96.4189,82.0845
-94.6369,79.6711
-92.8589,77.2548
-91.0779,74.8406
-89.3008,72.4236
-87.5184,70.0106
-85.7397,67.5947
-83.9479,65.1886
-82.1692,62.7728
-80.3708,60.3716
-78.5571,57.982
-76.7245,55.6068
-74.8462,53.2677
-72.9323,50.9575
-70.9558,48.7007
-68.9348,46.4837
-66.8525,44.3245
-64.6872,42.2486
-62.4398,40.2617
-60.1106,38.3718
-57.6897,36.6004
-55.1963,34.9334
-52.6016,33.4285
-49.9276,32.0706
-47.1665,30.8989
-44.3363,29.9075
-41.4385,29.1341
-38.4938,28.5679
-35.5121,28.2454
-32.5153,28.1364
-29.5193,28.2701
-26.5417,28.6256
-23.6059,29.2353
-20.7328,30.0934
-17.9534,31.2192
-15.2808,32.5785
-12.7443,34.1782
-10.3335,35.9621
-8.08192,37.9434
-5.95942,40.0624
-4.02132,42.3512
-2.22712,44.7548
-0.58832,47.2674
0.99408,49.8161
2.47408,52.4255
3.89808,55.0659
5.25448,57.7417
6.58818,60.4289
7.87718,63.1379
9.14708,65.8558
10.42,68.5724
11.6803,71.2948
12.9741,74.0014
14.342,76.6711
15.8143,79.2844
17.4473,81.7998
19.2517,84.1954
21.2653,86.4161
23.4941,88.4219
25.952,90.1378
28.602,91.5365
31.4098,92.5856
34.3377,93.2235
37.3224,93.4776
40.3184,93.3219
43.2714,92.8206
46.1519,91.988
48.9446,90.8936
51.6574,89.6148
54.3145,88.2229
56.9223,86.7401
59.4955,85.198
62.0399,83.6087
64.5684,81.9942
67.0866,80.3636
69.5925,78.7143
72.0886,77.0501
74.5785,75.3767
77.0662,73.7001
79.5443,72.0092
82.0183,70.3122
84.4901,68.6122
86.9673,66.92
89.4446,65.2281
91.9238,63.5389
94.4033,61.85
96.8828,60.1613
99.3536,58.4598
101.828,56.7634
104.302,55.0661
106.773,53.3662
109.242,51.6611
111.709,49.9544
114.176,48.2468
116.642,46.5384
119.109,44.8314
121.581,43.1319
124.052,41.4306
126.523,39.729
128.998,38.0343
131.473,36.3394
133.938,34.6293
136.403,32.9188
138.878,31.2244
141.354,29.5295
143.833,27.8407
146.319,26.1607
148.808,24.4868
151.302,22.8183
153.798,21.154
156.293,19.4891
