elevation,utm_x_norm,utm_y_norm,longx_norm,longy_norm
204.547,-236.088,-13.6032,-0.00333816,-0.000120096
204.535,-236.805,-11.0026,-0.0033483,-9.71361e-05
204.492,-237.351,-8.32387,-0.00335603,-7.34869e-05
204.445,-237.71,-5.62367,-0.00336111,-4.96483e-05
204.469,-237.891,-2.9005,-0.00336367,-2.56069e-05
204.451,-237.891,-0.15986,-0.00336366,-1.41131e-06
204.382,-237.702,2.56085,-0.00336099,2.26084e-05
204.375,-237.348,5.2847,-0.00335598,4.66557e-05
204.35,-236.805,8.01349,-0.00334831,7.07467e-05
204.342,-236.116,10.7452,-0.00333857,9.48639e-05
204.311,-235.324,13.4642,-0.00332737,0.000118868
204.292,-234.408,16.1603,-0.00331441,0.00014267
204.266,-233.393,19.0132,-0.00330007,0.000167857
204.249,-232.4,21.7972,-0.00328603,0.000192436
204.243,-231.377,24.5728,-0.00327155,0.00021694
204.175,-230.326,27.2946,-0.0032567,0.000240969
204.173,-229.225,29.9853,-0.00324113,0.000264724
204.131,-228.046,32.6436,-0.00322446,0.000288192
204.13,-226.816,35.3428,-0.00320707,0.000312023
204.088,-225.553,38.0152,-0.00318921,0.000335615
204.03,-224.263,40.7241,-0.00317096,0.000359531
204.024,-222.967,43.4431,-0.00315265,0.000383535
203.995,-221.688,46.1571,-0.00313456,0.000407496
203.953,-220.403,48.8598,-0.0031164,0.000431356
203.937,-219.111,51.5894,-0.00309812,0.000455455
203.9,-217.838,54.3031,-0.00308012,0.000479412
203.875,-216.556,57.0305,-0.003062,0.000503491
203.84,-215.29,59.7553,-0.0030441,0.000527547
203.825,-214.026,62.4728,-0.00302622,0.000551539
203.794,-212.762,65.1998,-0.00300835,0.000575613
203.772,-211.497,67.9176,-0.00299047,0.000599607
203.736,-210.233,70.6579,-0.0029726,0.0006238
203.695,-208.983,73.3762,-0.00295491,0.000647798
203.68,-207.725,76.1255,-0.00293714,0.00067207
203.66,-206.484,78.8575,-0.00291959,0.000696189
203.628,-205.241,81.6034,-0.00290201,0.000720432
203.596,-204.01,84.349,-0.0028846,0.000744671
203.567,-202.784,87.0984,-0.00286727,0.000768944
203.539,-201.564,89.8431,-0.00285002,0.000793175
203.518,-200.353,92.588,-0.0028329,0.000817409
203.482,-199.137,95.3457,-0.00281569,0.000841755
203.455,-197.93,98.0966,-0.00279864,0.000866041
203.43,-196.731,100.843,-0.00278168,0.000890284
203.409,-195.522,103.581,-0.00276459,0.000914458
203.38,-194.31,106.295,-0.00274745,0.000938423
203.354,-193.084,109.015,-0.00273011,0.000962433
203.331,-191.845,111.722,-0.00271259,0.000986334
203.31,-190.591,114.426,-0.00269487,0.0010102
203.285,-189.331,117.083,-0.00267705,0.00103366
203.256,-188.036,119.683,-0.00265873,0.00105661
203.257,-186.681,122.209,-0.00263958,0.00107892
203.263,-185.267,124.62,-0.00261959,0.0011002
203.248,-183.711,126.951,-0.00259758,0.00112078
203.223,-182.089,129.125,-0.00257465,0.00113997
203.212,-180.313,131.148,-0.00254954,0.00115784
