alt,utmx,utmy,longx,longy
205.596,436007.4961200605,296144.9984289175,18.09686663018168,50.5288505157025
205.596,436008.3215368771,296144.4339051545,18.096878294383078,50.52884543594363
205.61,436009.9721200605,296143.3050289175,18.09690165018168,50.5288355657025
205.61,436010.7582308629,296142.68694331957,18.096912758935016,50.528830003977724
205.592,436011.94412006054,296141.7545289175,18.09692953018168,50.5288218777025
205.592,436012.69236777077,296141.0911094694,18.09694010387792,50.52881590804976
205.619,436014.1731200605,296139.7782289175,18.09696105018168,50.5288044297025
205.619,436014.9216562962,296139.1151350298,18.09697162795124,50.52879846297925
205.619,436015.67019253183,296138.45204114204,18.096982205720803,50.52879249625601
205.631,436016.42112006055,296137.7868289175,18.09699284018168,50.528786848702495
205.631,436017.1659071319,296137.11952672334,18.09700336496686,50.52878084411161
205.654,436018.6261200605,296135.8112289175,18.09702400018168,50.5287694077025
205.654,436019.3655967062,296135.1380467056,18.09703444991995,50.5287633502014
205.633,436020.82912006055,296133.80572891753,18.097055160181682,50.5287517017025
205.633,436021.5630796788,296133.12653580896,18.0970655319535,50.5287455901135
205.679,436022.98812006053,296131.8078289175,18.097085690181682,50.5287340637025
205.679,436023.7158046227,296131.12191698584,18.097095973275227,50.528727891655464
205.657,436025.1691200605,296129.7520289175,18.097116520181682,50.528715914702495
205.657,436025.89355217805,296129.06268277287,18.097126757310175,50.52870971175335
205.699,436027.3061200605,296127.7185289175,18.09714674018168,50.5286979617025
205.699,436028.01988355105,296127.01814211044,18.097156826545344,50.528691659406064
205.72,436029.4031200605,296125.6608289175,18.09717639018168,50.5286797957025
205.72,436030.1041251343,296124.94767263276,18.097186296249273,50.528673378502376
205.717,436031.4511200605,296123.5773289175,18.09720535018168,50.5286614007025
205.717,436032.13777179254,296122.85034239845,18.09721505341504,50.52865485905365
205.719,436033.4531200605,296121.45772891754,18.097233650181682,50.5286426877025
205.719,436034.1236826828,296120.71587598766,18.09724312605238,50.52863601228111
205.746,436035.40112006053,296119.3026289175,18.09726120018168,50.5286236617025
